번호,약어,영문명,한글명,설명
1,,DAC Policy Statement on Partner-ship for Poverty Reduction,빈곤완화를 위한 파트너쉽 정책기조,"2000년 OECD의 개발원조위원회(DAC) 고위급회담에서 채택된 정책기조로 그 내용은 다음과 같다. ①1996년 DAC는&quot;90년 이후 UN이 주최한 각종 국제회의에서 결의한 목표를 수용한 &quot;21세기 전략&quot;이라는 범세계적인 개발 파트너쉽을 수립하였다. ？ 2015년까지 개도국 극빈층을 절반으로 축소 ？ 2015년까지 모든 국가에 의무교육실시 ？ 2005년까지 초등 및 중등학교에 남녀차별 제거 ？ 2015년까지 유아 및 소아 사망률을 2/3 까지 감소？ 2015년까지 모든 개인에게 안전하고 신뢰성 있는 가족계획 방법을 포함한 기초건강보건체제를 통한 생식보건서비스(Reproductive Health Ser- vice) 접근을 가능케 함 ？ 2005년까지 모든 국가에 지속가능한 개발을 위한 국별 전략을 수립케 함. ②&quot;21세기 전략&quot;발표후 우리는 좀더 효율적인 개발협력 모델수립을 위한 큰 진전을 이룩하였다. UN, World Bank, IMF와 DAC간의 합동회의는 광범위한 파트너쉽에 대한 상호간의 결심을 더욱 공고하게 하였다.  [빈곤완화(Pover- ty Reduction)]  ③빈곤제거는 국제사회의 공동의 목표이다. 우리는 빈곤완화관련광범위하고 다각적인 전략을 수립하였다. 이는 민간부문 발전, 인간기본욕구(교육, 건강)충족을 통해 소득의 증대를 실시하는 것을 의미한다. 동시에 이 접근법은 빈곤층에게 자신의 권리를 적극적으로 행사토록 함으로써 자신의 열악한 생존 조건을 스스로 변화시킬 수 있도록 도울 수 있을 뿐만 아니라 빈곤층이 부딪치고 있는 형평성 및 취약성과 위험성의 문제를 정부나 민간분야에게 제기시켜 줄 수 있다. ④개발협력은 평화와 지속가능한 개발에 대한 공동의 관심, 그리고 모든 인간의 평등권에 대한 존중 의무와 관련된 것이다. 이와 같은 전 세계적으로 공감하는 개념은 UN헌장과 UN인권선언에 잘 나타나 있다. ⑤제반 경제, 사회, 정치생활에서의 성평등과 여성의 권리강화는 빈곤타파 노력의 중요한 일부분이다. 동시에 환경지속성은 매우 중요한 요소이다. 이는 모든 개발단계에서 성평등과 환경의 요소들을 체계적으로 반영하는 것을 요구한다. ⑥우리는 DAC으로 하여금 빈곤완화에 관한 가이드라인을 개발토록 하였다.  [주인의식과 파트너쉽(Ownership and Partner- ship)]  ⑦빈곤을 극복하기 위한 책임은 수원국 정부와 국민에게 있다. 개발협력의 역할은 수원국의 자조 및 책임성에 기초하여 그 국가의 정책을 지원하는 것이다. 수원국의 필요, 능력, 목표에 기초한 주인의식과 파트너쉽은 수원국과의 협력의 기초이다. 이는 빈곤완화정책 및 다른 개발의제에 대한 수원국 자신의 능력개발을 구축하고 강화하는 것을 요구한다. ⑧주인의식과 파트너쉽을 강화하려는 의제는 최근에 이미 나타났다. 즉 프로그램원조 실시를 위한 공통의 프레임웍, 수원국이 주도하는 원조조정, 공여국 원조절차의 투명화, 단순화 및 효율화, 성과가 적은 개별적 프로젝트 억제, 수원국 능력의 활용도 제고, 공동 모니터링 및 평가, 정책의 일관성 제고, 혁신적인 재원모집 방안 등이다. ⑨우리는 수원국의 제한된 능력에 심각한 부담을 주는 복잡하고 다양한 원조를 개선해야 한다. 예를 들면, 보고절차, 조달, 프로젝트감독 등에서 공여국별로 절차가 각각 상이한 바, 이의 개선이 필요하다. 우리는 수원국 정부 및 시민사회와 더불어 국별프로그램 수행에 함께 노력해야 한다. ⑩ 우리는 여러 형태의 국별 빈곤완화 전략을 수렴한 종합적인 개발 프레임웍이 국제사회에서 공동으로 만들어지기를 기대한다. ⑪개발의 파트너쉽 접근법은 자신들의 개발과정에 주인의식을 지닌 능력과 의지를 표명하는 국가에 대한 양자간 원조에 초점이 맞추어지는 경향이 있다. 이는 개발협력의 효과성을 제고시키는 한편, 빈곤완화와 관련한 원조의 성과제고 방안에 대한 집중적인 연구가 매우 중요함을 의미한다. ⑫그러나 우리는현재 내전이나 정치적인 불확실성 때문에 고통을 당하는 국가의 주민을 무시할 수 없다. 이 국가들은 이 세상에서 가장 빈곤하고 인구가 많은 국가이다. 더욱이, 이 국가들은 다른 국가에도 영향을 미치고 있으므로 이들 국가에 대한 인도적인 원조 외에, 이들 국가들이 향후 분쟁을 일으킬 수 없도록 조치를 취해야 한다.  [세계화와 정책일관성(Globalisation and Policy Coherence)]  ⑬범세계적 협력, 상호교환, 통합 등은 모든 사람의 이해와 관련된다. 세계화는 개도국에게 새로운 기회를 제공하고 있으며, 특히 무역, 투자, 금융, 지식 및 기술분야에서 더욱 그러하다. 문제는 세계화가 빈곤층에게 혜택을 주도록 해야 한다는 것이다. ⑭지구의 어떤 지역에서는 주요한 경제적, 사회적 개발이 이루어지는 반면, 다른 지역에서는 개발이 성공하는경우가 드물고 또 취약하다. 성공여부는 통치, 분쟁해결, 인구, 질병을 어떻게 다루느냐에 달려 있다. ⑮점점 증대하는 경쟁적 경제체제에서 필요한 경제&middot;사회능력을 개발하는 것은 개도국의 주요한 과제이다. 개도국이 세계화 과정을 최대한 활용하고, 위험성을 최소화하도록 국제사회는 보험, 금융제도, 무역, 농업, 환경분야에서 적절한 조치를 취해야 한다. ?峙タ? 및 투자의 자유화가 빈곤완화를 위한 도구이며, 정책에 대한 책임성을 개도국 스스로 인식하게 된 것을 환영한다. 우리는 OECD회원국들의 정책일관성에 대한 노력이 필수적이라는 사실을 인식하고 있다. 이는 세계 시장에 대한 접근을 광범위하게 제공하고, WTO 체제 하에서 향상된 규칙, 환경 및 사회관심에 적절히 대응하며, 개도국이 국제협상이나 체제구축 과정에 효율적으로 참여하는 것을 의미한다. 또한 이는 국제무역에서의 수원국의 경쟁능력에 대한 개발을 요구한다. 우리는 세계화과정에서 개도국이 혜택을 받도록 수원국의 능력배양에 기여해야 한다. ?殆痢?는 국제적인 개발목표를 달성하는데 OECD회원국이 보다 더 일관성 있게 대 개도국 정책을 추진할 것을 약속한다. 우리는 DAC로 하여금 우리의 공공정책체제에 대한 기준이 될 수 있는 정책일관성에 관한 체크리스트를 마련할 것을 명하였다. 따라서 우리는 OECD가 제반 활동시 개발 이슈가 체계적으로 반영되도록 하겠다는데 대해 지지를 표명한다. [통치(Governance)]&gt; ?編箚岾? 성공적인 타파는 사회개발과 균형 있는 성장을 촉진하는 정책을 추구하는 개별국가의 의지와 능력에 달려 있다. 최근 빈곤퇴치의 방해요소에 대한 여러 분석에 따르면 인권과 빈곤층의 자유를 보장하여 그들이 개발과정에 적극적으로 참여케 하는 기회를 제공하는 것이 빈곤완화의 전제조건이라는 결론에도달하였다. 민주주의, 참여적 개발, 올바른 통치는 빈곤완화의 필수 요소이다. ?廈첫摸? 통치는 단순히 정부나 의회를 넘어 시민사회 및 민간분야를 포함하는 광범위한 파트너쉽 접근법을 요구한다. 또한 수원국 정부와 우리는 수원국의 시민사회와 이해관계자가 원조 프로그램이나 프로젝트의 계획단계에서부터 참여할 수 있도록 노력을 기울여야 한다. ?該瀏?나 파트너쉽은 책임성, 투명성, 예측가능성을 수반하고 있다. 최근의 금융위기는 국내외 기업에 대한 관리능력 제고의 중요성을 일깨워 주었다. 이와 같은 관점에서 부패방지를 위한 OECD 협약은 다국적 기업의 관리에 중요한 초석이 되고 있다.  [개발재원(Financing Development)]  개도국들은 점진적으로 자신들의 국내 재원을 동원하는 한편, 외국으로부터 장기 민간자본을 유치함으로써 개발에 필요한 재원을 확보하는 것이 중요하다. 원조의 역할은 이와 같은 과정에 기여하며 개도국의 원조의존을 줄이는 노력을 지원하는 것이 되어야 한다. 또한 원조는 민간투자자나 개별국가가 생산하기 힘든 세계공공재(global public goods) 개발을 위한 재정적인 지원에 적극적인 역할을 수행해야 한다. 이에는 보건과 의료연구, 국제적 환경프로그램, 지역적 안전보장, 인권 등과 같은 분야가 포함된다. 원조는 빈곤완화와 같은 개도국의 개발노력을 지원함으로써 궁극적으로 국제적 개발목표를 달성하는데 있어 중요한 역할을 담당하고 있다. 이를 위하여 우리는 원조의 질적 개선과 양적 확대를 위한 지속적인 노력을 경주할 것이다. 이와 관련 회원국은 GNP대비 ODA 목표인 0.7%를 달성해 나가도록 권고 받고 있다."
2,,Nonaligned Conference,비동맹회의,"비동맹회의는 1961년 유고슬라비아 베오그라드에서 최초로 개최되었으나, 비동맹운동의 연원은 1955년 인도네시아 반둥에서 개최된 반둥회의에서 찾아야 한다. 그 이유는 첫째, 처음으로 비동맹정책이 논의되고, 둘째, 의제와 결의 내용이 비동맹운동의 기본정신이 되었으며, 셋째, 반둥회의 참가국의 대부분이 베오그라드회의에 참석했기 때문이다. 반둥회의에서 채택된 단독 또는 집단적 자위권 외에 강대국의 특수이익을 위한 집단 방위협정 배제 등의 원칙은 비동맹주의와 관련되어 있다. 한편 1961년 베오그라드 비동맹 정상 회의(Conference of Heads of States and Chief Ministers of Non-aligned Nations)에서는 비동맹회원국 자격요건을 정식으로 채택했다. 그 내용을 보면 첫째, 공존과 비동맹주의에 기초를 둔 자주적 정책, 또는 그와 같은 정책을 지지하는 경향을 가진 국가, 둘째, 민족독립운동을 지지하는 국가, 셋째, 강대국 분쟁에 관련하여 체결된 다자간 군사동맹에 가입하지 않는 국가, 넷째, 강대국 분쟁에 관련하여 체결된 쌍무군사동맹이나 지역적 집단방위조약에 가입하지 않는 국가, 다섯째, 강대국 분쟁에 관련하여 군사기지를 타국에 제공하지 않는 국가 등이다. 이들 국가들이 동·서의 어느 블록에도 가담하기를 거부하게 된 실질적인 이유는 첫째, 냉전 블록에 가담하여 강대국과 동맹관계를 형성하게 되면, 자기들의 독립을 확보, 과시하는 데 지장이 초래될 수 있다, 둘째, 자기들마저 냉전 블록에 가담하게 되면 국제적 긴장이 더욱 고조되어 인류를 공멸하게 할 핵전쟁이 발발할 위험이 높아진다, 셋째, 냉전 블록에 가담하게 되면 미·소의 세력대결의 무대가 되거나, 종주국 대신에 핵공격을 받을 위험이 있다는 것 등이다. 그러나 동서분쟁의 문제는 베오그라드 회의에서 본격적으로 토의되었으나, 사실상은 식민지문제에 더욱 관심을 보였다.그 후의 비동맹회의는 동서분쟁의 문제보다는 남북문제(제3차 비동맹정상회의, 1970, 잠비아 루사카)를 본격적으로 토의하기 시작했으며, 제6차 비동맹정상회의(1979, 쿠바 아바나)에서 최빈국의 문제, 자원보유국과 자원희소국 간의 갈등문제가 심각하게 논의되기도 했다. 이와 같이 비동맹운동은 동서분쟁에 개입하지 않음으로써 자국의 독립을 유지하고 나아가서는 세계평화에 이바지하는 것을 목적으로 시작되었으나, 자국의 독립보존과 경제발전에 직접적 영향을 미치는 문제, 즉 식민지 해방과 남북문제에 더 관심을 기울였다는 점을 알 수 있다. 비동맹운동의 관심사가 변함에 따라 비동맹회의 참가국의 성격도 변화를 가져왔는데, 반둥회의에는 친서·친공을 막론하고 모든 아시아, 아프리카 독립국이 참가했고, 베오그라드 회의에는 친서·친공 국가는 불참했으며, 카이로회의(제2차 비동맹정상회의)부터는 아프리카 국가가 비동맹회의의 대부분을 차지하게 되었다. 라틴아메리카 국가들은 루사카 회의부터 정회원으로 참가하기 시작했다. 비동맹외교정책은 중립을 표방하지만 전통적인 중립주의와는 판이하게 다르다. 엄격한 의미의 전통적 중립주의라는 것은 국제적 세력균형과는 관계가 없을 뿐 아니라, 오히려 그러한 과정에서 완전히 고립되어 있는 상태를 말한다. 반면 신생독립국가들이 주장하는 비동맹정책은 힘의 균형과정에서 고립되거나 중립적인 입장을 취하는 것이 아니라, 오히려 적극적이고도 유연한 행동을 통해 미·소를 중심으로 한 동·서 양진영의 세력균형을 꾀하는 것이기 때문이다. 그러나 비동맹외교를 추진하는 국가들은 국제체제에 있어서 독립적이지만, 지역 내에서는 군사적, 이념적, 경제적으로 동맹관계에 있을 수 있다. 또한 오늘날의 국제적 환경에서는 거의 군사적인 문제에 한정되고 있다."
3,,Rome,로마클럽보고서,"1968년 결성한 로마클럽(Club of Rome)의 인간, 자원, 환경 문제에 관한 미래예측 보고서이다. 로마클럽은 세계 52개국의 학자와 기업인, 전직 대통령 등 각계 지도자 100명으로 구성된 연구기관으로 핵병기에서부터 남북문제, 공해에 이르기까지 급속한 기술혁신의 다른 한편에서 점점 심각화하는 현대사회의 제문제를 세계적인 시야에서 시스템 분석의 수법으로 해결하려는 국제단체이다. 각종 세계문제를 논의하여 보고서 형식으로 해결책을 제시한다. 1968년 4월 서유럽의 정계, 재계, 학계 지도자들이 중심이 되어 로마에서 결성한 것이며 민간베이스로 OECD에도 측면협력하고 있다. 클럽의 창시는 이탈리아의 실업가 아우렐리오 페체이가 환경오염 문제에 대한 연구의 시급함을 절감하고 1968년 30명을 모아 로마클럽을 결성한 것이다. 1972년 경제성장이 환경에 미치는 부정적 영향에 관한 보고서인 &quot;성장의 한계&quot;를 책으로 발간하여 베스트셀러가 되면서 국제적인 명성을 얻기 시작하였다. 환경문제에 관한 고전인 이 책은 &quot;연못에 수련이 자라고 있다. 수련이 하루에 갑절로 늘어나는데, 29일째 되는 날 연못의 반이 수련으로 덮였다. 아직 반이 남았다고 태연할 것인가? 연못이 완전히 수련에게 점령되는 날은 바로 다음날이다.&quot;라는 말로 환경오염의심각성을 경고하였다.1992년에는 로마클럽의 보고서로 1984년 클럽의 사무총장을 맡은 베르트랑 슈나이더가 정리한 제1차 지구혁명이 작성되었다. 그 후에는 21세기에 인류가 직면할 위기를 전망하면서 그에 대한 대책마련을 촉구하는 미래예측 보고서를 1994년에 발표하였다. 로마클럽은 &quot;함께 지구의 미래를 건설하자&quot;라는 제목의 보고서에서 현재와 같은 방식으로 살아간다면 인류는 머지않아 자멸하고 만다면서 멸망을 피하려면 생각하고 살아가는 방식을 근본적으로 고쳐야 한다고 진단하였다. 미래예측 보고서는 앞으로 인류는 세 가지 중요한 불균형에 직면하게 되는데, 첫째, 지구상의 남과 북의 불균형이며, 둘째, 같은 사회의 부자와 빈자의 불균형, 그리고 셋쩨, 인간과 자연간의 불균형이라고 예측하였다. 21세기가 되면 인류는 전 세계적으로 긴급한 어려움에 직면하게 되며, 그 가운데 다음 5가지 분야에 대해서는 인류가 모든 정력을 쏟아 대책을 마련해야 한다고 주장한다. ①물 : 현재 인구 3명당 1명이 물 부족을 겪고 있으며, 20년 정도 지나면 아프리카와 같은 지역의 식수부족은 상상을 초월할 것이다. 이에 따라 식수원을 차지하기 위한 국가간 분쟁이 빈번해지고 치열해질 것이다. 이렇듯 물은 분쟁의 요인이 되기도 하지만 단결의 요인이 되기도 하다. 식수원을개발하고 관리하기 위한 고도의 기술은 인접지역간의 통합을 유도하며 또 많은 일자리를 창출할 것이다. ②에너지 : 에너지의 절약과 에너지 재활용 장비의 개발을 염두에 두어야 한다. 화석연료 소비를 촉진하는 모든 보조금을 없애야 하며, 에너지 재활용 장비개발을 세계적 차원으로 높여 효율성을 높여야 한다. ③토양 : 생태계 파괴와 수리조절기능의 왜곡을 최소화할 수 있도록 세계적 관점에서 경작계획을 마련해야 한다. 경작지를 지구상에 골고루 분산시키면 노동력을 적절히 배분할 수 있고 특정지역에 식량을 의존하는 불안이 해소된다. ④낙후지역의 부흥 : 구 소련과 동부 유럽 등의 과도한 산업화로 황폐화된 지역을 부흥시켜야 한다. 더 이상 신천지가 없는 가운데 인구만 늘어가는 지구상에서 인류가 개척해야 할 곳은 바로 인간이 한번 지나쳐간 지역이다. ⑤군수산업의 전환 : 전 세계적 차원에서 방위산업을 민수산업으로 전환해야 한다. 초기에는 자본이 엄청나게 들지만 장기적으로는 경쟁력이 있다. 방위산업의 전환은 또한 대결과 정복의 시대가 단결과 화합의 시대로 옮겨간다는 상징적인 의미를 갖는다."
4,,Balance of Payments,국제수지,"일정기간 동안 한 나라가 다른 나라와 행한 모든 경제적 거래를 체계적으로 분류하여 이를 표로 나타낸 것을 국제수지표라고 한다. 여기에서 ""일정기간 동안""이라는 말은 국제수지가 스톡(stock)개념이 아니라 플로(flow)개념이라는 것을 의미한다. 이때 ""일정기간""은 통상적으로 1년을 지칭하는 것이나, 분기별 집계에서와 같이 1년 미만 또는 1년 이상으로 설정하는 경우도 있다. 경제활동의 본거지가 어디에 있는가 하는 점이 분류의 중요한 기준이 된다. 또한 모든 형태의 거래를 포함하는 것으로 재화 및 용역의 거래, 국가간의 이전거래, 자본거래 등 일체의 거래를 포함한다. 국제수지표의 체계는 모든 국제거래를 3가지로 대별하여 분류하는 것이 일반적이다. 국제거래는 각각의 거래가 일어나는 원인과 경제에 미치는 효과에 따라 경상계정(current ac- count), 자본계정(capital account), 금융계정(financial account)으로 나누어진다. 경상계정은 무역거래, 무역외거래, 이전거래로 구성된다. 무역거래는 재화의 수출과 수입을 포함한다. 무역외거래는 주로 용역의 수출 및 수입과 투자수익을 포함한다. 이전거래는 국가 간에 수수되는 무상증여를 나타낸다. 이것은 민간이 정부 및 국제기관 간에 수수되는 모든 국가 간의증여를 포함한다. 자본계정은 직접투자와 포트폴리오 투자로 나누어진다. 따라서 해외투자의 유출입과 차관, 단기자본이동 등이 해당된다. 자본거래는 상환기간에 따라 장기자본거래와 단기자본거래로 나누어지는데, 통상적으로 전자는 상환기간이 1년 이상이고, 후자는 1년 이하가 해당된다. 금융계정은 부채와 자산항목으로 나누어지고, 중앙은행과 외국환은행의 대외부채와 자산의 증감이 기록된다. 자산에는 금, 특별인출권(SDR), 외국유가증권 등의 국제준비자산의 증감이 기록되고, 부채난에는 외국은행 및 국제기관에 대한 부채, SDR 배분의 변화 등이 기록된다.한 국가의 국제수지, 즉 수입과 지출은 균형을 이루는 것이 바람직하다. 즉, 지출이 수입보다 많을 경우 결국 그 국가의 보유외화가 고갈되고 긴급한 재화마저 수입할 수 없게 되어 경제가 파탄에 이를 경우도 있기 때문이다. 한편 수입이 지출보다 많은 경우도 반드시 바람직하다고 볼 수 없는데, 이것은 수출재화가 제 값을 받지 못하고 싸게 수출되었기 때문이라고 해석할 수 있고, 획득한 외화를 단순히 축적하는 데 의의가 있는 것이 아니라 그것을 사용하여 외국의 소비재, 자본재, 원자재를 수입함으로써 국민생활수준을 향상시키고 경제발전에 도움이 되도록 이용하는 것이 바람직하기 때문이다. 그런데 국제수지의 균형은 어떠한 국제수지를 기준으로설정할 것인가에 따라 다르게 나타난다고 할 수 있다. 국제수지표상의 모든 거래는 성격에 따라 자율적 거래(autonomous transaction)와 보정적 거래(accommodating tran- saction)로 구별할 수 있다. 자율적 거래는 국가 간의 가격, 소득, 이자율 등 경제적 요인의 차이에 따라 발생하는 거래이며, 부정적 거래는 자율적 거래를 뒷받침하기 위한 보조적 거래이다. 다양한 국제거래 중에서 어디까지를 자율적 거래로 보느냐에 따라 국제수지의 기준이 달라지고 이에 따라 균형의 의미도 달라진다. 결국 자율적 거래를 어디까지 보느냐에 따라 경상수지, 기초수지, 종합수지 등 다양한 국제수지 개념이 발생하게 된다. 경상수지를 기준으로 삼는 경우는 경상계정에 포함되어 있는 항목만을 자율적 거래로 보고 경상수지가 균형을 이룰 때 국제수지도 균형을 이룬다. 여기에서 자본거래와 금융거래는 국제수지의 불균형을 해소하기 위한 부정적 거래로 간주된다. 그러나 경상수지의 불균형이 곧 국제수지의 불균형이라는 견해가 타당하지 않은 경우도 있다. 예를 들면 국제수지의 균형이 외환의 공급과 수요가 일치해야 한다는 견해에 따른다면 국제수지 균형을 이야기할 때 경상거래뿐만 아니라 자본거래도 포함시켜야 한다. 국제수지 균형에 대한 또 다른 견해로 자율적 거래를 경상계정과 자본계정 중의 장기자본이동을 포함시켜 분석하는 기초수지 개념이 있다. 경상수지 적자와 장기자본의 도입이 서로 상쇄되어 기초수지가 균형을 이루게 되면 그만큼 외국에 대해 부채를 지는 것은 사실이나 장기자본이 도입되어 국내 경제발전에 기여할 수 있다면 그 자체가 불건전하지는 않다고 보는 경우이다. 다음 견해는 기초수지에 단기자본의 이동과 오차 및 누락 항목을 자율적 거래로 추가시키는 종합수지이다. 외환의 수요와 공급은 경상거래뿐만 아니라 모든 자본거래에 의해서도 이루어지며, 외환의 수요와 공급이 일치되는 점에서 국제수지가 균형이 된다고 보는 견해이다."
5,,Foreign Aid,대외원조,"타국과 그 국민을 위한 자본, 상품, 용역의 국제적 공여를 의미한다. 공식적인 대외원조에는 첫째, 무상원조나 차관과 같은 현금 등의 자본공여, 둘째, 인적 자원이나 기술설비의 형태로 증여되는 기술원조와 기술교육의 2가지가 있다. 정상적인 경제원조는 원조대상국이 일정한 지속적 경제성장의 단계에 도달하면 원조를 줄이거나 중단하는 것을 전제로 한다. 무기제공이나 군사훈련 고문단 파견의 형식으로 이루어지는 군사원조는 동서 양 진영에서 원조의 극히 중요한 부분이 되어 왔다. 국가정책으로서의 대외원조는 프리드리히 대왕이 군사적 지원과 정예화를 확보할 목적으로 특정 동맹국들을 지원했던 18세기로 거슬러 올라간다. 이러한 관행은 19세기 유럽에서도 간헐적으로 계속되었다. 제1차 세계대전 당시 미국이 유럽 동맹국들에 대해 막대한 차관을 제공한 바 있는데 이것은 후에 세계 대공황으로 인한 상환불이행으로 사실상의 무상원조가 되었다. 이러한 경험 때문에 제2차 세계대전 때 미국의 원조는 무기대여 형태로 이루어졌는데 이것은 미국이 주요 장비와 물품을 제공하는 대가로 동맹국들은 해외에 주둔하고 있는 미군부대에 설비 및 물자를 제공하는 형식이었다. 1943∼1946년 활동한 유엔 구제부흥사업국(UNRRA)는 애초에 그런 의도로 설립된 것은 아니었으나 대외원조가 단순히 보조금이라는 낡은 개념에서 정책의 제도적 요소라는 새로운 개념으로 옮겨가게 하는 중요한 전환점이 되었다. 이 기구는 특히 미국과 같이 기금의 대부분을 부담하고 있던 부국이 공식적인 국제원조를 전후복구의 필수적인 요소로 인식하기 시작했다는 사실을 보여주었다. 제2차 세계대전 이후 대규모 재건을 추진하기 위한 경제적, 인도주의적 동기는 소련의 팽창에 대한 서유럽의 두려움이라는 정치적 고려에 의해 한층 더 촉진되었다. 최초의 대외원조는 1947년 3월 당시 공산주의 국가가 된 유고슬라비아의 군사적 침략 위험에 처해 있던 그리스와 튀르키예에 군사, 경제 원조를 제공하기로 한 해리 트루먼 미국 대통령의 결정에 의한 것이었다. 1947년 6월 미국 국무장관 조지 마샬은 경제복구에 강력한 중점을 두면서 유럽 부흥원조계획을 제안했다. ""마샬플랜""이 실시된 4년의 기간 동안 서유럽은 미국 정부로부터 120억 달러에 달하는 원조를 받았다. 일반적으로 마샬플랜은 유럽의 복구와 소련의 대서방 팽창방지라는 2가지 목적을 달성한 것으로 평가되었다. 마샬플랜에서 미국은 최초로 경제부흥원조와 정치적, 군사적 이해 추구를 공공연하게 연계시켰다. 1950년대 미국과 소련은 양자간에 직접적인 충돌이 일어날 가능성은 없었으나 대신 제3세계 개도국들의 지지를 확보하기 위해 치열하게 경쟁을 벌였다.따라서 공산진영과 서방진영은 그들의 호감을 사기 위한 경쟁을 계속해 왔다. 미국은 지금까지 대부분의 원조를 부담해왔다. 프랑스, 영국, 벨기에, 네덜란드와 같은 전식민지 제국은 정치적 관계를 유지하는데 비교적 많은 원조를 제공했고 독일, 일본, 노르웨이, 덴마크는 경제적, 정치적으로 이득을 가져올 수 있는 개도국과의 관계수립을 추진해 왔다. 네덜란드, 스칸디나비아 제국, 캐나다 등과 같이 그보다 덜 부강한 국가들도 보다 순수한 동기에서 원조를 제공해 왔다. 대외원조에 관한 문제 중 하나는 원조국이 수혜국에게 자국상품의 구입을 요구하는 것이다. 이와 같이 ""연계된"" 원조는 원조국 상품의 가격이 세계시장 가격보다 높기 때문에 수혜국에게 특별한 문제를 야기시킨다. 예컨대 이러한 원조는 수혜국에게 보이지 않는 이자부담을 안겨준다. 다자간 원조계획은 서서히 발전되어왔다. 그 주요기관은 1946년 유엔의 독립전문기관으로 문을 연 세계은행(IBRD)이다. 그밖에 지역개발은행이 있는데 이들은 해당 지역의 개도국에 자금을 빌려준다. 가장 오래되고 규모가 큰 것으로는 1959년에 세워진 미주개발은행(IDB)이 있는데 여기서는 라틴아메리카 국가들에게 자금을 빌려준다. 1964년에 설립된 아프리카개발은행(AfDB)은 많은 자본을 유치하는 데 상대적으로 성공을 거두지 못했다.1965년에 설립된 아시아개발은행(ADB)은 자본금 형성에 보다 성공적이었다. 유럽 국가들은 유럽 개발기금과 유럽 투자은행이라는 2개의 다국적 원조기관을 설립했는데 이들은 모두 유럽 경제공동체(EEC)의 부속기관이다. 유엔은 전문기관, 특히 유엔교육과학문화기구(UNESCO), 세계보건기구(WHO), 식량농업기구(FAO) 등의 출연을 통해 수많은 경제원조 계획을 후원하고 있다. 결국 경제개발 사업은 유럽을 재건하는 것보다 훨씬 더 어려운 일이라는 것이 사실로 밝혀졌다. 왜냐하면 그것은 단순한 재건뿐만 아니라 사회 전체의 개조를 필요로 하기 때문이다. 이 작업은 수세대에 걸쳐 수행되어야 한다고 인식되고 있다. 원조국의 입장에서 보면 종종 대외원조는 정치적으로 그만한 보상을 가져다 주지 않았다. 식민지시대의 유산을 안고 있는 신생국 정부는 자연히 선진국의 동기를 의심하고 있고 그들의 독립을 과시하는데 온통 관심을 쏟고 있다. 원조국 정부는 종종 막대한 재정적, 군사적, 정치적 비용을 지불하고 나서야 수혜국과 자국의 운명이 밀접하게 관련되어 있다는 사실을 깨닫는다. 원조를 받는 국가는 당연히 자국의 이익으로 생각되는 것을 추구하려고 하는데 이것은 원조국의 이해와 충돌하기도 한다. 대외원조가 저개발국의 급속한 경제성장을 촉진하는 데 번번이 실패하자 원조국의 의회와 국민들사이에서는 대외원조의 경제적 이점에 대한 강한 회의론이 제기되었다. 단지 명백한 것은 경제원조란 경제발전을 일으키는데 요구되는 여러 복합요인 중의 하나에 지나지 않는다는 사실이다.   "
