게시일자,게시물제목명,내용
2023-01-19,KOREANA 2022 겨울호가 발간되었습니다.,"KOREANA 2022 겨울호가 발간되었습니다.이번 겨울호에서는 한류열풍을 선도하고 있는 K-드라마의 다양한 면모를 살펴봅니다. 로컬을 넘어 전 세계인과 공감대를 형성하는 서사적 보편성을 가지며, 형식 면에서는 느와르, 스릴러, 판타지 등 장르 다양성을 확보하는 등 한류 드라마에서 눈에 띄게 진보한 K-드라마를 KOREANA 겨울호에서 만나보시기 바랍니다. 11개의 언어로 발간되는 웹진은 언제 어디서나 koreana 사이트( koreana.or.kr)를 통해 무료로 보실 수 있으며, 종이책을 소장하고 싶은 독자는 9개 언어의 종이책을 네이버 스마트스토어(bit.ly/buy_koreana)를 통해 구입하실 수 있습니다."
2023-02-22,"BTS-KF 한국어 강좌 사업, 2022년 외교부 공공외교 우수 사례로 선정","KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)의 BTS-KF 한국어 강좌 사업 이 외교부 공공외교위원회 주관 ‘2022년 공공외교 중앙행정기관 협업 부문 우수사례’로 선정되었습니다. BTS-KF 한국어 강좌 사업 은 BTS와 영화 ‘기생충’의 인기로 해외에서 한국 문화 및 한국어에 대한 관심이 고조된 시기에 KF가 해외 한국어 학습 열풍을 강화하기 위해 2020년 빅히트 에듀(2021.3 ‘하이브 에듀’로 사명 변경, 이후 2022.6 네이버 자회사 ‘스노우’가 운영하는 ‘㈜케이크’에 합병됨), 한국외대와 협약 체결을 맺고 시행한 사업입니다. 온라인 한국학한국어 강좌 사업인 ‘KF e스쿨’ 사업 모델에 빅히트 에듀와 한국외대 허용 교수 연구팀(한국어콘텐츠연구소)이 공동 개발한 한국어 교재 『Learn! KOREAN with BTS』를 결합한 온라인 한국어 강좌입니다.이 사업은 코로나19로 인한 온라인 교육 확산에 따라, 강좌 수가 2020년 4개국 5개 대학 7개에서 2022년 13개국 16개 대학 52개로 대폭 확대되면서 전 세계 해외 한국어 교육 보급 및 활성화에 기여하고, KF의 해외 한국어 교육을 위한 온라인 특화 사업으로 성장했습니다.외교부는 공공외교법에 따라 운영되는 상설 위원회인 공공외교위원회를 통해 2019년부터 매년 중앙행정기관, 지방자치단체, 재외공관의 활동 중 공공외교 우수사례를 선정발표하고 있으며, BTS-KF 한국어 강좌 사업 은 KF-빅히트 에듀-한국외대 민관학 협력의 우수 사례로 인정받아 2022년도 중앙행정기관 부문 우수사례 2건 중 1건으로 선정되었습니다."
2023-02-22,스웨덴 협력 아이콘-존재의 권리에 대한 사진전 ,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)와 주한스웨덴대사관(대사 다니엘 볼벤(H.E. Daniel WOLVEN)이 공동 개최한 아이콘-존재의 권리에 대한 사진전 이 2022년 12월 19일(월)부터 2023년 2월 9일(목)까지 서울 KF갤러리(중구 수하동) 및 KF 웹사이트와 SNS를 통해 온오프라인으로 개최되었습니다. 아이콘-존재의 권리에 대한 사진전 은 스웨덴 글라다후디크 극단이 ‘아름다움의 정의’라는 주제로 진행했던 워크숍 과정을 담은 결과물입니다. 글라다후디크 극단은 일반인과 지적 장애 배우가 함께 연기하는 극단으로, 이 워크숍은 장애 유무와 관계없이 누구나 삶의 존엄성을 지키고 그 속에서 각자의 꿈을 발산하며 사는 것이야말로 인간의 기본 권리라는 것을 일깨우고자 기획된 것입니다. 글라다후디크는 경계 없는 협업과 상호 배움의 과정을 통해 아름다움에 대한 편견과 표준적 시각에 도전하고 있습니다. 다운증후군을 가진 사람들의 특수성이나 차이점을 강조하기보다는, 그들의 꿈과 욕망에 담긴 보편성과 동일성을 조명하는 창작 발표를 해 왔습니다.전시는 사진 작품 총 21점 및 다큐멘터리 영상 1점으로 구성되어 있습니다. 스웨덴 사진 박물관 포토그라피스카에서 2016년 처음 공개된 이 전시는 모델들의 생동감 넘치는 자기 표현과 적극적인 참여를 통해 다운증후군에 대한 우리 사회의 통념과 태도의 전환을 촉구하고 있습니다. 각자의 꿈과 환상을 투영한 사진 촬영 과정은 모델들이 자기 자신의 ‘아이콘’이 되어 보는 경험이자, 관객의 ‘아이콘’이 되어 보는 예술적 위치 전환을 보여줍니다. 이 전시를 공동 주최해 온 포토그라피스카는 세계 최고 영향력을 자랑하는 사진 박물관으로 스톡홀름 뿐 아니라 뉴욕과 베를린에 지부를 두고 있습니다. 아이콘-존재의 권리에 대한 사진전 을 위해 글라다후디크 극단 설립자 페르 요한손(Par Johansson), 사진작가 엠마 스벤손(Emma Svensson), 의상 디자이너 린다 산드베리(Linda Sandberg), 헬레나 안데르손(Helena Andersson) 등이 협업에 나섰고, 한서문화예술협회가 아시아 첫 순회전 추진을 후원했습니다."
2023-03-08,KF-CSIS 한미경제안보포럼 개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)와 미국 전략국제문제연구소(Center for Strategic International Studies; CSIS)가 공동 주최한 이 2월 23일(목) 워싱턴DC에서 개최되었습니다.은 팬데믹 후 공급망 위기, 러시아-우크라이나 사태 및 미중 기술경쟁으로 기존 전통안보 외 경제·기술 안보 협력 중요성이 높아짐에 따라 기획된 행사로, 한미 양국 전문가 20여 명이 참석하여 경제안보 현안에 대해 의견을 교환했습니다.한국에서는 박진 외교부 장관의 기조연설(녹화 영상)을 비롯, 이재민 서울대 법과대학 교수 겸 경제안보대사(화상 참석), 유명희 前산업통상자원부 통상교섭본부장, 정인교 국민경제자문회의 경제안보분과장, 남기태 서울대 재료공학부 교수 (제 20대 대통령직인수위원회 과학기술교육분과 인수위원), 이정민 카네기국제평화재단 선임연구원, 연원호 대외경제정책연구원 경제안보팀장 등 경제·기술 분야 전문가 8명이 참여했습니다.미국에서는 알란 에스테베즈 (Alan F. Estevez) 상무부 산업안보담당 차관이 기조연설을 맡고, 매튜 굿맨 (Matthew Goodman) CSIS 경제 담당 수석부회장, 존 뉴퍼 (John Neuffer) 미 반도체산업협회(SIA) 회장, 빅터 차 (Victor Cha) CSIS 한국석좌(화상 참석), 찰스 프리먼 (Charles Freeman) 미 상공회의소 부회장 등 정·관계 인사 9명이 참석했습니다.이번 포럼에서는 ‘한국과 미국의 경제안보 전망’을 주제로 △ 핵심 기술 규제 (Controlling Critical Technologies), △ 경제 제재 대응 및 규칙 기반 질서 강화 (Responding to Economic Coercion and Enhancing Rules-based Order), △ 프렌드 쇼어링 (Making “Friendshoring” Work) 등 3개 세션에서 양국 전문가들이 세션 주제에 대해 심도 깊은 논의를 하고 양국의 협력 및 미래 발전방향에 대해 모색하는 자리가 되었습니다."
2023-03-10,2022 지구촌 한류현황 발간,"KF는 전 세계 118개국 149개 재외공관과 협력하여 〈2022 지구촌 한류현황〉을 발간하였습니다. [온라인 버전 보기 링크: www.kf.or.kr/archives/ebook/ebook_list.do] 《지구촌 한류현황》은 전 세계 재외공관을 통해 수집한 세계 한류 현황 자료를 정리한 책으로 2012년부터 매년 발간되어 올해로 11번째 발간을 맞이했습니다. 지난 11년간 (2012-2022) 전 세계 한류팬 및 한류 동호회 증가 추이 2022년 12월 기준 전 세계 한류 팬 수는 1억 7,800만 명으로 조사되었습니다. 책자 발간이 시작된 2012년(당시 926만 명) 대비 10년 사이 19배 증가한 수치입니다. 약 1억 3000만여명의 한류 동호인을 보유한 한류의 텃밭 아시아대양주부터, 한류 열풍이 불고 있는 미주, 전 세계 팬덤 중 규모 면에서나 점유율 면에서 전년대비 가장 큰 성장세를 보인 미답의 유럽, 2012년 도서 첫 발간 대비 18개국이 추가된 아프리카중동까지, 한류가 세계 대중문화의 선도주자로 자리 잡고 있는 모습을 2022 지구촌 한류현황을 통해 확인해 보세요! 지구촌 한류현황 통계센터 : https://www.kf.or.kr/koreanstudies/hallyu.do KF는 해외 한류 동호회 데이터를 KF 통계센터를 통해 공개합니다. 관심 있는 누구나 KF 홈페이지에서 11년간의 한류 데이터 및 책자를 열람하실 수 있습니다."
2023-03-20,코리아나 2023년 봄호 발간 ,"코리아나 2023년 봄호 한국의 현대 공예가 발간되었습니다. 해외의 공예 및 디자인 관련 전문가들이 한국 공예의 특징으로 가장 많이 꼽는 것은 ‘전통과 현대의 균형 잡힌 조화’ 입니다. 오늘날 한국의 공예 분야에서는 오랜 전통을 자양분으로 새로운 실험과 도전이 심화되고 있습니다. 한국 문화예술 종합 계간지 『코리아나』 봄호에서는 젊은 공예 작가들이 선보이는 흥미로운 작업들을 조명합니다. 지속가능한 삶을 위한 이들의 모색은 ‘인간의 삶에 기여한다’ 는 공예의 본질이 여전히 유효함을 보여 줍니다. 이 외에 K-좀비의 독특한 몸동작을 창조해 낸 안무가 전영, 음악과 무용의 장르적 협업이 완벽했다는 찬사를 받은 꼭두각시 공연, 백제의 역사가 잠들어 있는 부여 기행, 봄철 대표적 향토 음식인 도다리 쑥국에 대한 향긋한 이야기 등이 독자들을 찾아갑니다. 11개의 언어로 발간되는 웹진은 언제 어디서나 koreana 사이트( koreana.or.kr)를 통해 무료로 보실 수 있으며, 종이책을 소장하고 싶은 독자는 9개 언어의 종이책을 네이버 스마트스토어(bit.ly/buy_koreana)를 통해 구입하실 수 있습니다."
2023-03-21,2023 KF 외교관 한국 언어 문화 연수 ,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 3월 8일(수) 환영식을 기점으로 총 12주 동안 25개국 외교관 25명이 참가하는 2023 KF 외교관 한국언어문화연수 프로그램을 시작했습니다.올해는 유럽, 대양주, 중남미, 아프리카 등 총 25개국에서 참가한 외교관 25명이 연수에 참가했습니다. 경희대학교 국제교육원에서 한국어 교육을 수강하며, 태권도, K-pop 댄스 등 다양한 한국 문화를 체험하고, 경복궁, 국립중앙박물관, DMZ 등 방문도 예정되어 있습니다.연수생들에게는 한국 외교부를 방문해 우리나라 외교관들과 네트워킹할 기회도 제공됩니다. 국립외교원에서 한반도 및 동북아 정세 등을 주제로 한 특강도 준비되어 있어, 한국의 정치, 경제, 사회 등에 대한 이해도를 높일 예정입니다.3월 8일(수), 서울 웨스틴 조선 호텔에서 개최된 환영식에는 유스프 샤리프조다 주한타지키스탄대사, 딴 진 주한미얀마대사, 네마냐 그르비치 주한세르비아대사 등 주한외교사절단들이 참석해 연수생들을 격려했습니다. 특히 네마냐 그르비치 주한세르비아대사는 2017년 KF 외교관 한국언어문화연수 참가자로, 본인의 연수 경험을 참가자들과 공유하며 뜻깊은 시간을 보냈습니다. 2018년 참가자인 무함마드 하이다스 주한말레이시아대사관 1등서기관도 올해 참가자들에게 경험담을 전하며 격려했습니다."
2023-03-22,㈜천재교육 초등 사회 검정교과서 내 KF아세안문화원 소개 내용 수록,"2023년부터 KF아세안문화원을 초등학교 사회 검정교과서에서 만나볼 수 있게 되었습니다. ㈜천재교육과의 협력을 통해 2023년 초등학교 6학년 2학기 사회 검정 교과서의 1단원 세계 여러 나라의 자연과 문화 중 [함께하는 체험활동]으로 KF아세안문화원이 2페이지에 걸쳐 소개 되었습니다.2023년부터 교육부는 초등학교 고학년의 사회, 수학, 과학 교과서를 국정교과서 체제에서 검정교과서 체제로 단계적 전환 진행 중이며, 그 일환으로 ㈜천재교육 사회교과서도 검정교과서로 발표되었습니다.㈜천재교과서는 초등 3, 4학년의 수학, 사회, 과학 교과서 전국 점유율 1위를 기록한 바 있는 출판사로서 향후 전국의 많은 초등학교를 대상으로 아세안과 KF아세안문화원을 소개할 수 있는 기회가 확대될 것으로 기대됩니다."
2023-03-24,"체코 하원의장단 등 고위급 인사 대거 한국 방문, KF갤러리 오늘부터의 세계 展 관람","KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)와 주한체코문화원이 공동 개최하는 전시 오늘부터의 세계 가 진행중인 KF갤러리에 3월 24일(금) 마르케타 페카로바 아다모바(Marketa Pekarova Adamova) 체코 하원의장과 체코 하원 의원들, 체코 외무부 고위급 인사 그리고 기자로 구성된 체코 방한단이 방문하여 전시를 관람했습니다. 오늘부터의 세계 展은 지속가능한 미래를 만들어가기 위한 국제적 청사진인 ‘지속가능개발목표(Sustainable Development Goals; SDGs)’를 예술적으로 시각화한 두 종류의 작품을 소개하는 전시입니다. 체코의 사진작가 다비드 톄신스키의 사진 연작 17점과 체코문화원 본원에서 제작한 ‘SDGs: 지속 가능한 미래를 위한 혁신’ AR(증강현실) 작업 17점으로 구성되었습니다.전시장을 찾은 아다모바 하원의장과 체코 하원 외교위원장 등 체코 국회의원 및 고위급 인사 30여 명, 그리고 체코 기자 10여 명은 주한체코대사(구스타브 슬라메취카(Gustav Slameka))와 주한체코문화원장(미샤 에마노브스키(Michal Emanovsky))의 안내를 들으며 작품을 감상했습니다.전시 관람 후에는 전시 주제인 지속가능개발목표에 관한 의견을 나누고, 한국외국어대학교 체코슬로바키아어과 학생들과도 만나 한국과 체코 간 문화와 학술 교류의 중요성에 대해 대화를 나누었습니다. 오늘부터의 세계 展은 4월 7일(금)까지 서울 KF갤러리에서 무료로 관람할 수 있으며, 전시 종료 이후에는 KF 홈페이지(www.kf.or.kr)에서 온라인(VR) 전시로도 볼 수 있습니다."
2023-04-14,미국 알래스카에서 한국 문화의 밤 공연 개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 주앵커리지 대한민국 출장소, 아시아 알래스카 문화센터(AACC. Asia Alaskan Cultural Center)와 함께 알래스카 한국 문화의 밤 공연을 개최했습니다. 알래스카 한국 문화의 밤 공연은 미국 알래스카주의 앵커리지(3.30.-31.)와 페어뱅크스(4.3.)에서 각 두차례 개최되었습니다. 판소리, 사물놀이를 비롯한 전통국악과 북춤, 호랑이 탈춤 등의 전통무용, 그리고 해금, 아쟁 등의 전통악기로 연주되는 K-Drama OST 등 다채로운 구성의 이번 공연은 사물놀이 몰개와 (사)국악단 소리개가 주축이 되었습니다. 앵커리지와 페어뱅크스에서 각 두차례 개최된 공연은 Mike Dunleavy 알래스카 주지사, Dave Bronson 앵커리지 시장 등 알래스카주 각계 주요 인사와 일반 시민을 대상으로 한 본 공연과 현지 중, 고교생 약 2천여명을 위한 학생 대상 공연으로 구성되었습니다."
2023-04-21,해외 10개국 정무분야 유력인사 한국 방문,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)가 4월 9일(일)부터 15일(토)까지 해외 10개국의 유력 인사들을 한국에 초청했습니다. 이번 초청 프로그램에는 가봉, 교황청, 방글라데시, 세르비아, 수리남, 온두라스, 우루과이, 짐바브웨, 크로아티아, 파나마 등 10개국에서 오는 10명의 정무 분야 요인이 참가했습니다.이번 주요 초청 인사들은 △ Parmanand SEWDIEN(파르마낭 슈디엔) 수리남 농수축산부 장관, △ David MUSABAYANA(데이빗 무사바야나) 짐바브웨 외교통상부 부장관, △ Gerardo SOLIS(헤라도 솔리스) 파나마 감사원 원장(前주택부 장관), △ Alvaro GARCE(알바로 가르세) 우루과이 대통령실 국가전략정보처장, △ Ivana PPOVIC(이바나 포포비치) 세르비아 농업산림수산자원부 차관, △ Md. Atiqul ISLAM(무하마드아티꿀 이슬람) 방글라데시 북다카시 시장 등입니다.이들은 한국에 있는 동안 함께 서울시, 한국개발연구원을 방문해 한국의 우수 정책과 경제발전 경험 등에 대한 소개를 듣고 협력 방안을 논의하고, 세종연구소를 방문해 한국의 외교 및 대북 정책 방향을 이해할 기회를 가졌습니다. 또한 부산의 2030 부산세계박람회 유치 현장을 견학하며 관계자를 만나 박람회 유치 노력에 대한 설명을 들었습니다.또한 각 인사들은 개별 일정으로 외교부, 농촌진흥청, 국가정보원, 지자체 등 해당 분야별 전문가들을 만나 실질적 상호 협력 증대 방안에 대해서도 논의했습니다."
2023-05-11,美 하버드大 최초 한국 정책연구 프로그램 기금 설치,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)가 미국 현지시간으로 4월 11일(화) 하버드대학교 케네디스쿨 소속 벨퍼센터와 ‘한국연구 프로그램 (Korea Project) 기금 설치 기념식’을 개최하고, 11일(화)부터 13일(목)까지 3일간 동맹 70주년 기념 제 4차 하버드 벨퍼센터 한반도 안보서밋 (Korean Security Summit)을 진행했습니다.이번 벨퍼센터 기금은 KF가 ‘대학 내 정책연구소’에 한국 연구 프로그램 기금을 설치하는 최초 사례로, 워싱턴 D.C. 싱크탱크 중심으로 진행되어 온 한국 정책 연구 지원을 대학으로 확대하여, △ 대학을 기반으로 한미간 외교안보경제안보첨단기술 협력 등 주요 현안 관련 연구 및 정책 담론을 활성화하고, △ 미 정부학계 등 정책 커뮤니티 대상으로 관련 정보 및 정책 제언을 전달함과 동시에, △ 하버드대 내 한국관련 차세대 정책 전문가를 양성할 수 있는 기반을 마련하였다는 점에서 큰 의의가 있습니다.벨퍼센터의 한국연구 프로그램(Korea Project)은 KF의 해외 정책연구 지원사업을 통해 2019년 공식 발족되었으며, 발족 이래 존 박 국장(John PARK, Director, Korea Project)이 프로젝트의 총 책임을 맡고 있습니다. 세부 내용으로는 △ 포럼(연례 하버드대 안보서밋 개최) △ 한미 전문가 초청 한국 현안관련 강연 △한국 고위급 전문가 초청 방문 펠로십 프로그램 운영 △ 전통안보, 경제기술 안보, 사이버 안보 등 현안관련 정책연구 및 출판 △ 하버드대 석박사생 대상 차세대 한반도 전문가 육성 프로그램 등이 있습니다. KF는 매년 일회성으로 운영되어 오던 이 프로그램을 안정적이고 지속적으로 운영하기 위한 목적으로 하버드대와 기금 조성을 위해 노력해 온 결과, 지난 2022년 12월 하버드대 케네디스쿨과 협약을 체결하였습니다. KF(100만 달러)와 하버드대(100만 달러)가 200만 달러(약 26억원)를 조성하여 ‘매칭펀드’ 형태로 출연했습니다. 기금 설치 기념식을 시작으로 이어지는 제 4차 한반도 안보서밋에서는 3일에 걸쳐 한미 양국의 외교경제기술사이버 안보 분야의 의제별 전직 고위 정책 담당자와 분야별 전문가들이 참석하여 양국 안보협력 확대 방안에 대해 논의하였습니다. 특히 금번 포럼은 양국간 동맹 70주년 기념 사업인 동시에, 이달 말 예정된 한미정상회담을 앞두고 개최되어 양국간 현안 의제를 시의적절하고, 심도있게 다루었습니다.김기환 KF 이사장의 개회사와 박진 외교부 장관의 축사(녹화영상)가 이어졌으며 제1세션의 시작에 앞서 김기환 KF 이사장과 에릭 로젠바흐 벨퍼센터 공동 소장 (前 미 국방부 차관보), 니콜라스 하크니스 하버드대 한국학 연구소장은 기금 설치 합의에 서명하는 기념식을 개최했습니다. 4월 11일(화) 제1세션은 한미 동맹 70주년(Celebrating the 70th Anniversary of the U.S.-ROK Alliance)를 주제로, 윤병세 前 외교부 장관, 데이빗 생어 뉴욕타임스 기자, 조셉 나이 하버드대 석좌교수, 빅터 차 CSIS 한국 석좌, 빈센트 브룩스 前주한미군사령부 사령관, 웬디 커틀러 前 미 무역대표부 부대표(한미 FTA 협정 당시 미국측 수석대표), 메리 르지어 前 미 육군 정보보안 사령부 사령관이 참여했습니다. 외교안보, 국방, 통상 분야의 최전선에서 양국 협력을 담당해 온 주역들이 모여 한미 동맹 70주년의 성과를 평가하고, 향후 미래를 전망했습니다.4월 12일(수) 제2세션은 핵심 기술 규제(Navigating the Increasing Control of Critical Technologies)를 주제로, 보니 젠킨스 미 국무부 군축국제안보 담당 차관이 기조 연설을 했습니다. 한국측에서는 이정민 카네기 국제평화재단 선임 연구위원, 남기태 서울대 재료공학부 교수(대통령 과학기술자문회의 심의위원)이 참석했으며, 미국측에서는 제이슨 수 하버드대 케네디스쿨 애쉬센터 선임연구원, 암리타 자얀티 벨퍼센터 기술 프로젝트 부디렉터, 우드워드 양 하버드대 전기공학컴퓨터 공학 교수, 프란체스카 지오바니니 벨퍼센터 핵프로젝트 총괄 디렉터가 참여했습니다.4월 13일(목) 제3세션은 북한의 암호화폐 탈취 대응방안(Curbing North Korea’s Revenue Generation from Crypto Theft)을 주제로, 안드레아 가키 미 재무부 해외자산통제국장의 기조연설을 시작으로 김원수 前 UN 사무차장 겸 고위군축대표, 김소정 국가안보전략연구원 신흥안보연구실장, 닉 칼슨 前 FBI 분석관, 애쉴리 샤핀-로모노소프 체이널리시스 북한 사이버범죄 전문가, 존 박 벨퍼센터 코리아프로젝트 국장, 프리실라 모리우치 벨퍼센터 코리아프로젝트 펠로가 참여했습니다."
2023-05-12,KF-주한포르투갈대사관 협력 전시 포르투갈-마법으로 지은 찰나展 개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)와 주한포르투갈대사관(대사 수자나 바즈 바투(H.E. Susana Vaz Patto))이 공동으로 준비한 포르투갈-마법으로 지은 찰나 전시가 지난 4월 24일(월) 서울 중구 수하동 소재 KF갤러리에서 개막했습니다. 포르투갈-마법으로 지은 찰나 展은 루이 프레이레 갤러리(Rui Freire Gallery, 리스본 소재, 2018년 창립)와의 협업으로 포르투갈의 시각 예술이 지닌 특별한 매력을 한국 관객에게 전달하기 위해 마련되었습니다. 포르투갈 현대미술을 대표하는 중견 작가 벨라 실바(Bela Silva), 브루노 카스트로 산토스(Bruno Castro Santos), 조지 네스빗(Jorge Nesbitt)의 작품이 이 전시를 통해 한국에서 처음 소개됩니다. 작가 3인의 공예, 드로잉, 회화 40여 점의 작품을 한 자리에서 선보이며 포르투갈 특유의 아름다움을 관객들에게 소개합니다. 벨라 실바는 남아메리카와 아시아를 여행하며 얻은 이국적 영감을 포르투갈의 전통적 미학과 융합해 도자와 드로잉으로 표현한 작품을 선보입니다. 폭넓은 색채와 콜라주 기법을 사용해 전통 요소와 현대적 기법을 감각적으로 교차시킨 실바의 작업은 뉴욕타임즈 등 주요 미디어를 통해 소개되었고, 건축, 인테리어 디자인 영역에서도 다양한 협업을 진행한 바 있습니다. 프랑스 명품 브랜드 에르메스의 패턴 디자인에 참여하여 스카프, 재킷 등 패션 아이템을 통해 자신의 작품 세계를 보여 준 작가이기도 합니다. 브루노 카스트로 산토스는 선과 선, 층과 층을 쌓으며 단순한 평면에 그치지 않는 새로운 차원의 드로잉 속으로 관객을 초대합니다. 특히 이번 전시에서 만날 수 있는 그의 대표작 「마법으로 지은 찰나」는 수면 중인 뇌에서 일어나는 특정한 순간을 ‘직물을 직고하는 과정’에 비유한 신경학자 찰스 셰링턴의 말에서 착안해 인간 뇌의 미세한 신경망을 도식화한 작품입니다. KF와 주한포르투갈대사관은 세 작가들의 작품을 통해 포르투갈의 전통과 현재가 엮여 직조되는 마법 같은 순간을 관람객들이 경험하길 바라며, 이 작품명을 전시 제목에 차용했습니다. 조지 네스빗의 대형 작품은 ‘리노컷’이라 불리는 볼록판화 기법을 활용하여 다양한 질감을 표현합니다. 일러스트레이션과 만화적 요소를 결합한 그래픽 이미지를 사용해 문학적 서사를 담은 그의 작품은 시각 예술이 주는 유머와 시적 감성을 함께 느낄 수 있게 해 줍니다."
2023-05-19,7개국 국회의원·시의원 8명 한국 방문,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 4월 23일(일)부터 29일(토)까지 나이지리아, 레바논, 미국, 브라질, 에콰도르, 칠레, 호주 등 7개국의 국회의원 및 시의원 총 8명을 한국에 초청했습니다. 이번에 초청된 인사는 △ 카르멘 헤르츠(Carmen HERTZ) 칠레 하원 외교상임위원회 위원장, △ 그라함 페렛(Graham PERRETT) 호주 국회 공공사업 상임위원회 위원장, △ 지하드 파크라도니(Jihad PAKRADOUNI) 한-레바논 국회의원 친선협회장, △ 롭 핏츠(Robb PITTS) 미국 애틀랜타 풀턴카운티 정부 이사회 의장, △ 샘 박(Samuel PARK) 미국 조지아주 하원의원, △ 카요데 아키올루(Kayode AKIOLU) 나이지리아 연방의회 하원의원, △ 산드라 타데우(Sandra TADEU) 브라질 상파울루 시의회 시의원, △ 나탈리 아리아스(Nathalie ARIAS) 에콰도르 국회의장단 제2서기 등 총 8명입니다. 공통 일정으로 국회와 서울시 의회 등을 방문해 중앙정부와 지자체의 의정활동 시스템을 파악하고, 국립외교원과 동아시아연구원 전문가 특강을 들었으며, 관심 분야별로 국민체육진흥공단, 국가인권위원회 등 유관기관을 방문하거나 해외 현지에서 활발히 사업을 수행 중인 국내 기업 관계자들을 만나는 등, 각 분야에서 상호 협력 증대 방안에 대해 논의하였습니다."
2023-05-26,엘살바도르 국회의장 한국 방문,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 5월 5일(금)부터 9일(화)까지 에르네스토 알프레도 카스트로 알다나(Ernesto Alfredo Castro Aldana) 엘살바도르 국회의장과 그 배우자인 이르마 미첼 마르타 니네트 솔 데 카스트로(Irma Michelle Martha Ninette Sol de Castro) 주택부 장관을 한국에 초청했습니다. 한국방문이 처음인 카스트로 의장은 이번 초청을 통해 김진표 국회의장과 박승희 삼성전자 사장, 최태원 대한상공회의소 회장을 만나 한국과 중남미 지역 간 협력 증진 방안에 대해 이야기를 나누었습니다. 경복궁과 청와대, 국립현대미술관을 방문하여 한국의 문화를 체험하고, 삼성이노베이션뮤지엄을 방문하여 한국의 디지털기술 발전 과정과 미래기술을 알아보았습니다."
2023-06-01,교육 분야 해외 5개국 유력인사 6명 한국 방문,"KF(Korea Foundation, 한국국제교류재단, 이사장 김기환)는 5월 7일(일)부터 13일(토)까지 미국, 루마니아, 방글라데시, 이라크, 팔레스타인 등 5개국의 교육 전문가 6명을 한국에 초청했습니다.이번에 한국을 방문하는 교육계 인사는 △ 마릴렌 가브리엘 피르테아 (Marilen Gabriel PIRTEA) 루마니아 서티미쇼아라대 총장, △ 마르코스 코우날라키스 (Markos KOUNALAKIS) 미국 스탠포드대 후버연구소 방문연구원, △ 커크 라슨 (Kirk LARSEN) 미국 브리검영대 역사학과 부교수, △ 무하마드 악타루짜만 (Md. AKHTARUZZAMAN) 방글라데시 다카대 부총장, △ 무와팍 알 주보리 (Muwafaq AL-JUBOURI) 이라크 바그다드대 독어독문학과 교수, △ 베샤라 두마니 (Beshara DOUMANI) 팔레스타인 브르제이트대 총장 등 총 5개국의 6명입니다.이들은 한국에 있는 동안 공통 일정으로 국립외교원을 방문해 한반도 정세 및 인도·태평양 전략 등 한국 외교정책에 대한 전반적 브리핑을 듣고, 한국대학교육협의회 회장 및 한국외대 총장과 면담을 통해 한국 대학 교육 제도에 대한 설명을 들었습니다. 그리고 국립국제교육원과 한국학중앙연구원을 방문하여 정부 초청 장학생 사업(GKS)과 한국학 진흥 사업 등 다양한 교육 분야 국제교류 사업에 대해 이야기 나누었습니다.각 인사들은 개별 일정으로 외교부, 국방부, 교육부 등 정부 부처들과 서울대 등 국내 유수 대학을 방문해 자신의 소속 대학과 한국 기관 간 교육 분야에서의 상호 협력 증대 방안에 대해 논의했습니다."
