게시일자,게시물제목명,내용
2022-05-06,"한-베 수교 30주년 기념, 베트남 고위급 인사 방한","KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 올해 한-베 수교 30주년을 기념하여 한국과의 관계 발전에 기여한 베트남 고위급 인사 6명을 방한 초청했습니다.《한-베 미래지향 교류사업》의 일환으로 진행되는 이번 초청 사업으로 초대 주한베트남대사를 역임한 응웬 푸 빙(NGUYEN Phu Binh)을 비롯하여 도 바 띠(DO Ba Ty) 前국회부의장 겸 육군대장, 쩐 반 뚜이(TRAN Van Tuy) 前한-베의원친선협회 회장 등이 방한하여 서울과 제주를 방문하였습니다.방한단은 외교부와 국회를 예방하여 지난 30년 간 한-베 협력 현황 및 지속가능한 미래 상호 교류 방안에 대해 논의하였고 또한, 양자 협력을 넘어 아세안(ASEAN) 등 글로벌 협력 차원에서의 긴밀한 조력을 위해 제주평화연구원, 부산 세계박람회 유치위원회 등을 방문하여 상호 협력 가능한 의제들을 협의하였습니다."
2022-05-09,〈제8회 한-중앙아 정책토론회〉개최,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근) 한중앙아협력포럼사무국(이하 사무국)이 개최한〈제8회 한-중앙아 정책토론회〉내용이 5.4.(수) 사무국 유튜브 채널을 통해 공개되었습니다.2022년 2월 시작된 러시아-우크라이나 전쟁으로 급변하는 국제 정세에 전 세계의 많은 관심이 집중되고 있는 가운데, 이번 토론회는 “러시아-우크라이나 정세가 중앙아시아에 미치는 영향”이라는 주제 하에 현 정세가 중앙아 지역과 한국에 미치는 영향, 이에 따른 한-중앙아 협력 방안 등이 심도 깊게 논의되었습니다.토론회는 러시아와 정치경제적 측면에서 매우 긴밀한 관계를 갖고 있는 중앙아 5개국의 지정학적 변화와 영향을 집중적으로 다루었으며, 두 세션(△국제관계 △경제)으로 나뉘어 세션별 전문가 발표와 토론의 순서로 구성되었습니다.토론회의 사회 및 좌장은 엄구호 한양대 아태지역연구센터 소장이 맡았으며 △국제관계 세션에서는 현승수 통일연구원 연구위원이 ‘우크라이나 전쟁과 중앙아시아의 대응’을 주제로 발표하였고, 서동주 유라시아정책연구원 부원장과 신범식 서울대 정치외교학부 교수가 토론에 참여하였습니다. 이어 △경제 세션에서는 이상준 국민대 유라시아학과 교수가 ‘러시아-우크라이나 전쟁 이후 한중앙아 협력방안과 과제’를 주제로 발표한 이후, 박지원 박사(KOTRA)와 변현섭 박사(북방경제협력위원회)의 토론이 뒤따랐습니다.KF는 이번 토론회 내용을 사무국 공식 유튜브 채널(youtube.com/c/한중앙아협력포럼사무국)을 통해 공개하였습니다."
2022-05-10,〈주한라트비아대사관과 함께하는 KF-GIYFF 영화상영회〉 개최 ,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근)는 주한라트비아대사관, 김포시, 김포국제청소년영화제조직위원회(GIYFF)와 공동 주최로 4월 30일(토) 김포 CGV에서 〈주한라트비아대사관과 함께하는 KF-GIYFF 영화상영회〉를 개최했습니다.이번 행사는 한-라트비아 우호·친선을 증진하고 김포-라트비아 우호협력 1주년을 기념하기 위해 기획되었으며, 제5회 김포국제청소년영화제 사전행사로 진행되었습니다.행사 축하를 위해 아리스 비간츠(Aris VIGANTS) 주한라트비아대사와 이종국 KF 교류협력이사, 허승범 김포시 부시장(시장 대행) 등이 참석하였으며, 행사 분위기를 북돋기 위해 라트비아 전통 현악기 ‘코클레’ 연주자인 라이마 얀소네의 “한-라트비아 수교 30주년 기념 공연” 영상 상영과 황규선 무용단의 한국 전통무용(태평무, 진쇠춤) 공연이 펼쳐졌습니다. 영화 상영 직후에는 장형윤 애니메이션 감독 등이 참여하는 관객과의 대화 시간도 준비되었습니다.1960년대부터 역사 깊은 애니메이션 강국으로 평가되어 온 라트비아의 애니메이션은 독특한 창의성과 다양성, 그리고 이를 구현하는 기술력으로 유명합니다.이번에 소개되는 애니메이션 “어웨이(Away)”는 긴츠 질발로디스(Gints ZILBALODIS) 감독이 각본부터 제작, 촬영, 음악, 미술, 편집까지 모든 준비 과정을 혼자 담당하며 4년의 기간 동안 심혈을 기울인 작품으로 비행기 불시착으로 섬에 떨어져 집으로 돌아가기 위한 소년의 여정을 다루고 있습니다.“어웨이”는 영국의 가디언紙 등 유수 언론에서 ‘조용하고, 꿈같은, 황홀한 애니메이션(Silent, surreal and entrancing animation)’이라는 좋은 평가를 받은 바 있으며, 프랑스 ‘2019 안시 국제애니메이션 페스티벌’에서 콩토르샹 작품상을 수상하기도 하였습니다."
2022-05-16,한-영 기후변화 크리에이티브 프로젝트 공모,"한국국제교류재단과 영국문화원은 기후변화에 대한 혁신적인 대응을 모색하기 위해 예술, 과학, 디지털 기술을 융합한 크리에이티브 프로젝트를 공모합니다.한국과 영국의 개인 및 기관이 협력하는 공동 프로젝트를 대상으로 하며, 프로젝트당 최대 7천만원의 지원금을 지원합니다. 관심있는 분들의 많은 지원 바랍니다."
2022-05-20,2022 문화예술계 유력인사 방한 ,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근)의 초청으로 독일, 멕시코, 캐나다, 이집트 등 5개국의 문화예술 유력인사 그룹이 5.8.(일)부터 5.14.(토)까지 6박 7일 일정으로 한국을 방문했습니다.이번에 방한한 인사는 ▲레온티네 마이예르-반 멘쉬(Leontine Meijer-van Mensch) 독일 작센 인류학박물관 관장 ▲사울 알칸타라(Saul Alcantara) 국제기념물유적협의회(ICOMOS) 멕시코 회장 ▲조졔 드로왕-브리스보아(Josee Drouin-Brisebois) 캐나다국립미술관 현대미술부 수석큐레이터 ▲모나 엘-샤즐리(Mona El-Shazly) 이집트 CBC 방송사 앵커 등 4인입니다.방한 인사들의 첫 일정은 국립중앙박물관에서 최근 개막한 고(故) 이건희 회장 컬렉션 기념전 《어느 수집가의 초대》 관람으로 정선 인왕제색도, 이중섭 황소 등을 비롯한 주요 소장품 355점을 살펴보는 기회를 가졌습니다. 이어 다음날에는 국립현대미술관, 리움미술관 등을 방문하여 한국 현대미술을 접하였습니다. 5.11.(수)부터는 한국가구박물관, 서울미술관 관람 외에 개별 전문 분야 및 관심사에 따라 유관기관을 방문하였습니다."
2022-05-23,2022 KF 글로벌챌린저 아카데미 참가자 공모 안내,"한국국제교류재단(KF)은 학업 열의 및 국제 활동 잠재력이 뛰어나지만 장기간 해외 거주 또는 유학 경험이 없는 우리 청년을 대상으로 글로벌 진출 역량을 함양하고 세계시민(Global Citizen)으로 도약하는 기회를 제공하기 위해 2022년 'KF 글로벌챌린저 아카데미'를 새롭게 시작하였습니다. 이에, 참가자를 모집하고자 하니 아래를 참고하여 관심있는 분들의 많은 참여 부탁드립니다. KF 2022 글로벌챌린저 아카데미KF 글로벌챌린저 아카데미는 학업 열의 및 국제 활동 잠재력이 뛰어나지만 장기간 해외 거주 또는 유학 경험이 없는 우리 청년을 대상으로 글로벌 진출 역량을 함양하고 세계시민(Global Citizen)으로 도약하는 기회를 제공하는 프로그램입니다.사업내용어학능력 및 국제 이해 제고를 위하여 국 내 및 해외에서의 외국어(영어) 역량 및 세계 이해, 해외 진출 역량 강화를 위한 교육, 활동, 탐방 기회를 제공하고, 세계 시민으로서 인류 보편적 가치와 한국의 역할 등에 대한 본인의 관심사를 담은 주 제를 탐구하는 기회를 부여합니다.프로그램세부 추진일정 및 내용은 추후 변경 가능국내 (7월~8월 중순 및 2023년 1월 온오프라인 병행)오리엔테이션기본교육: 비즈니스 매너, 성평등 교육, 해외안전교육, 커뮤니케이션, 팀워크 빌딩 등 | 국제이해 교육 국제사회와 한국의 역할, 이문화 및 문화다양성 이해, 공공외교 및 글로벌 주요 현안 이해, 한국 이해 심화 등 사전 어학 교육: 영어 논문 작성, 인터뷰, 면접 스킬 연습 및 영미권 문화이해 등해외 진출 진로 탐색 정보 제공, 주요 인사 멘토링 및 성과발표회 등해외(미국) (8월 중순 ~ 12월 오프라인)현지 기관 연수 및 탐방 주요기관 방문 등공통자유탐구과제 수행 및 성과 발표신청 자격만 35세 미만으로 대한민국 국적을 가진 4년제 이상 국내 대학에서 1년 이상 재학 중인 학생 (대학 입학 후 최소 2학기를 마친 학생만 가능)영어 가능자: 토플 IBT 58점 이상 또는 토익 650점 이상인 자학부 학점이 3.0/4.5점 이상인 자 해외여행에 결격사유가 없는 자신청요건 우대사항사회적 배려 대상자 (서류전형 가산점 3점)초등학교-대학교 재학 중 6개월을 초과하여 어학을 비롯한 각종 연수, 진학 또는 인턴십 등을 목적으로 해외에 체류한 경험이 없는 자지원사항국내 및 해외연수 프로그램 참가비공식 체험 및 방문 일정 관련 경비 포함해외 숙식비 (정액) - 여행자보험료국제선 왕복 항공료의 80%경제적 사회 배려 대상자에 한하여 전액 지급비자발급비는 자담단, 경제적 사회 배려 대상자에 한해 재단 무담프로그램 이수 증명서 발급프로그램을 충실히 이행한 자에 한하여 프로그램종료 후 발급참여 일수 미달, 필수과제 미이행 등 정해진 기준을 달성하지 못하는 경우 증명서 발급 불가우수 활동자에 대해서는 별도의 부상 제공 가능하며, 향후 KF 글로벌 챌린저 신청 시 가산점 제공 검토 . 모집 및 선발일정KF 신청서접수 마감~6.1(수) 소속대학 국제교류처에서 동 프로그램에 적합한 인사에 대한 추천공문 및 개인별 신청서류를 재단에 발송 필요대학별 신청일전 및 신청서류 등은 소속대학 국제교류처로 문의 요망대학 추천 공문 없이 개인적으로 제출하는 신청서는 인정되지 않습니다. 서류 및 면접 평가6.6(월)~6.10(금) KF 진행, 문의처: gcacademy akt.or.kr합격자 발표6.14(수)면접 평가는 대면 혹은 화상으로 진행 예정이며, 영어 인터뷰가 진행될 수 있음면접 평가 일정 및 합격자 발표는 당사자에 한해 이메일로 개별 통보 예정 상기 일정은 사정에 따라 변경될 수 있음상세 내용은 KF 홈페이지(kf.or.kr)에서 확인 가능합니다.신청 구비서류 제출방법2022년 6월 1일 (수)까지 공문을 통해 신청서 및 추천서 제출대학별로 공문을 통해 신청서 제출 기한 준수 요망KF 2022 GLOBAL CHALLENGERSACADEMY"
2022-05-26,2022년 중남미 지역 유력인사 그룹 방한,"KF(Korea Foundation, 한국국제교류재단, 이사장 이근)의 초청으로 4월 17일(일)부터 4월 23일(토)까지 콜롬비아, 페루, 에콰도르 등 중남미 지역 7개국 8명의 해외 유력 인사들이 한국을 방문했습니다.정부 인사로 Tito Jose Crissien Borrero (티토 호세 크리시엔 보레로) 콜롬비아 과학기술혁신부 장관과 Nicolas Del Castillo Piedrahita (니콜라스 델 카스티요 피에드라이타) 콜롬비아 국립수산청장, 지자체 인사로는 Joel Martinez (조엘 마티네즈) 트리니다드토바고 포트오브스페인 시장, Jorge Munoz (호르헤 무뇨스) 페루 리마 시장 등 4인, 교육/언론 등 분야 인사로 Fernando Sempertegui (페르난도 셈페르테기) 에콰도르 센트럴대학교 총장 외 1인이 방한했습니다.공통 일정으로 외교부, 대외경제정책연구원, 세종연구소, 한-중남미협회 등 주요 기관을 방문하여 한국의 외교 및 대북 정책 기조 등에 대한 이해를 더했고, 한국과 중남미 지역 간 협력 현황 및 미래 협력 분야 등에 관해 면대면 논의의 기회를 가졌습니다. 아울러, 경복궁, 전쟁기념관, 현대모터스튜디오, 안양시 스마트시티 융합센터 등을 둘러보며 한국의 역사, 문화, 경제발전에서부터 과학기술, 현대문화까지 다양한 모습을 접하였습니다"
2022-06-08,〈제1차 한호미래포럼〉 개최,"공공외교 전문기관 KF(Korea Foundation, 한국국제교류재단, 이사장 이근)가 호주 호한재단(Australia Korea Foundation/AKF)과 공동 주최하는 〈제1차 한호미래포럼〉이 5월 27일(금) 서울 웨스틴조선호텔에서 개최되었습니다.한-호 정상회담(2021.12.)을 계기로 한국 외교부 및 문화체육관광부와 호주 외교통상부 간 체결된 사회문화협력 MOU를 통해 발족한 동 포럼은 당시 정상회담으로 양국관계가 포괄적 전략 동반자 관계로 격상된 이후 최초로 열린 한국-호주 간 고위급 정례 대화 채널로서 이번 제1차 포럼은 서울에서 먼저 개최하게 되었습니다.제1차 한호미래포럼은 양국 간 대화체가 11년 만에 재개하였다는 점에서 특히 의미가 깊습니다. 한-호 간 대화체는 1989년 호주 캔버라에서 발족한 한호포럼 이후 한호대화, 한호리더스포럼 등의 이름으로 총 8차례 진행된 바 있었으나, 2011년 이후로는 중단되었습니다.이번 포럼은 세 개의 세션 및 오찬 연설로 구성되었습니다. ▲(1세션) ‘진화하는 전략적 환경 내 한-호 공동의 이해와 협력 방안’, ▲(2세션) ‘글로벌 경제통상 리스크 관리를 위한 경제적 협력(글로벌 공급망 문제 해결 등 경제안보 분야 협력 방안)’, ▲(3세션) ‘예술과 문화 협력의 미래’ 등 세션별 주제 하에 진행되었으며, ▲오찬 연설은 ‘재계, 정계, 학계에서의 여성’을 주제로 하였습니니다.한국 측 주요 인사로는 이근 KF 이사장, 박태호 前 외교통상부 통상교섭본부장을 비롯하여 이백순 前 주호주대사, 김은미 이화여대 총장, 이정민 KAIST 안보융합원 초빙교수(前 외교부 국제안보문제담당대사), 이재민 서울대 교수, 마상윤 가톨릭대 교수, 윤금진 前 국립박물관문화재단 사장, 이윤희 한국문화예술위원회 전략사업본부장 등이 참석했고, 호주 측에서는 캐서린 레이퍼(Catherine Raper) 주한호주대사, 피터 콜먼(Peter Coleman) 호한재단 이사장과 이사진을 비롯하여 마틴 워커(Martin Walker) 호주 외교부 동북아 심의관, 팀 웡(Tim Wong) 호주 총리내각부 공급망복원국 심의관, 고든 플레이크(Gordon Flake) 호주 퍼스 미국-아시아센터 소장 등이 주요 인사로 참석했습니다."
2022-06-15,2022 KF 버추얼 콘서트 시리즈 “우리 옆의 자연” 개최,"우리 국민 및 주한외국인을 대상으로 세계문화공연 감상 및 참여 기회를 제공하고자 다양한 공연을 지속적으로 선보여 온 한국국제교류재단이 KF 버추얼 콘서트 시리즈 우리 옆의 자연(Feel the Nature Around Us)를 소개합니다.6월 13일부터 23일까지 매주 월, 목요일 오후 4시에 총 4편의 영상이 공개되며, 멕시코, 한국, 벨기에, 콜롬비아의 공연단들이 퓨전음악, 브레이크댄스, 재즈 등 다양한 장르의 공연을 선보입니다.모든 공연이 야외에서 진행되어 싱그러운 영상미를 느낄 수 있으며, 자연과 인간에 대해 생각해 볼 수 있는 계기가 되기를 바랍니다.이번 버추얼 콘서트 시리즈는 KF 유튜브(www.youtube.com/TheKoreaFoundation)를 통해 누구나 무료로 즐기실 수 있습니다."
2022-06-28,2023 해외정책연구 지원사업,"KF 해외정책연구 지원사업은 한국 관련 외교, 안보, 정치, 경제, 사회 분야 글로벌 현안을 깊이 있게 분석하고 유관 정책을 제언하는 해외 연구 활동과 프로그램을 지원합니다. 신청자격 해외(미국 제외) 정책연구소(싱크탱크) 및 대학 소속 연구소※ 기관에 소속되어 있지 않은 개인은 단독으로 신청 불가※ 미국 지역 연구소는 이 링크를 통해 신청 가능합니다: 링크 : https://bit.ly/KFGRANTUSONLY 대상사업 1. 한국 관련 정책연구 및 세미나 (예시) - 한반도 관련 이슈: 안보, 한미 동맹, 핵확산 방지, 소프트 파워, 한일관계 등 - 과학기술 협력 이슈: AI, 사이버 안보, 5G/6G, 퀀텀 컴퓨팅, 반도체 등 - 글로벌 이슈: 인권, 민주주의, 기후변화 및 환경, 에너지, 공급망, 포스트 코로나 국제질서, 지정학적 변화 등 2. 한국 정책 연구를 전담하는 연구직 또는 연구부서/프로그램 신설 및 운영 (예시) Korea Chair/Fellow, Korea Center, Korea Program 사업일정 1. 신청기간: 2022년 7월 1일 ~ 8월 31일 (18:00 KST)2. 결과발표: 2022년 12월 31일 이전※ 신청서 작성시 제출한 이메일로 통보 서신 발송 공고 및 신청 바로가기"
